sample,node,distance,label
776,node1,22.92,1
777,node1,30.17,1
778,node1,37.62,1
779,node1,46.87,0
780,node1,29.9,1
781,node1,42.76,0
782,node1,29.39,1
783,node1,17.12,1
784,node1,22.63,1
785,node1,61.3,0
786,node1,22.63,1
787,node1,29.9,1
788,node1,22.63,1
789,node1,19.7,1
790,node1,27.32,1
791,node1,23.2,1
792,node1,19.4,1
793,node1,21.01,1
794,node1,19.4,1
795,node1,21.33,1
796,node1,37.38,1
797,node1,27.32,1
798,node1,16.15,1
799,node1,24.38,1
800,node1,23.8,1
801,node1,23.49,1
802,node1,23.22,1
803,node1,17.44,1
804,node1,26.74,1
805,node1,16.8,1
806,node1,17.12,1
807,node1,17.76,1
808,node1,16.15,1
809,node1,16.15,1
810,node1,17.44,1
811,node1,25.86,1
812,node1,9.08,0
813,node1,17.44,1
814,node1,29.09,1
815,node1,17.12,1
816,node1,16.8,1
817,node1,17.12,1
818,node1,16.15,1
819,node1,16.15,1
820,node1,18.73,1
821,node1,2.62,0
822,node1,2.31,0
823,node1,3.28,0
824,node1,48.0,0
825,node1,5.18,0
826,node1,5.18,0
827,node1,24.68,1
828,node1,6.78,0
829,node1,4.23,0
830,node1,4.56,0
831,node1,5.49,0
832,node1,5.18,0
833,node1,6.46,0
834,node1,36.45,1
835,node1,17.12,1
836,node1,24.67,1
837,node1,25.55,1
838,node1,27.32,1
839,node1,33.34,1
840,node1,33.32,1
841,node1,33.59,1
842,node1,21.01,1
843,node1,37.62,1
844,node1,43.23,0
845,node1,43.44,0
846,node1,31.23,1
847,node1,43.83,0
848,node1,50.3,0
849,node1,30.7,1
850,node1,45.46,0
851,node1,48.5,0
852,node1,50.47,0
853,node1,36.69,1
854,node1,45.87,0
855,node1,46.07,0
856,node1,17.12,1
857,node1,13.12,0
858,node1,12.44,0
859,node1,11.42,0
860,node1,43.42,0
861,node1,54.79,0
862,node1,45.24,0
863,node1,45.66,0
864,node1,16.15,1
865,node1,19.72,1
866,node1,17.12,1
867,node1,13.79,0
868,node1,12.78,0
869,node1,16.15,1
870,node1,13.12,0
871,node1,14.45,0
872,node1,16.8,1
873,node1,41.58,0
874,node1,44.63,0
875,node1,45.07,0
876,node1,43.42,0
877,node1,12.77,0
878,node1,40.66,0
879,node1,50.47,0
880,node1,43.83,0
881,node1,42.06,0
882,node1,50.47,0
883,node1,43.21,0
884,node1,43.42,0
885,node1,50.83,0
886,node1,40.9,0
887,node1,39.49,1
888,node1,20.37,1
889,node1,30.17,1
890,node1,50.81,0
891,node1,29.38,1
892,node1,35.96,1
893,node1,23.8,1
894,node1,22.63,1
895,node1,12.44,0
896,node1,37.38,1
897,node1,32.28,1
898,node1,41.84,0
899,node1,29.9,1
900,node1,40.88,0
901,node1,28.2,1
902,node1,29.39,1
903,node1,28.2,1
904,node1,28.51,1
905,node1,26.45,1
906,node1,28.2,1
907,node1,26.45,1
908,node1,27.32,1
909,node1,27.62,1
910,node1,28.51,1
911,node1,26.74,1
912,node1,27.62,1
913,node1,25.86,1
914,node1,28.51,1
915,node1,29.92,1
916,node1,40.19,0
917,node1,25.86,1
918,node1,28.51,1
919,node1,27.05,1
920,node1,29.65,1
921,node1,29.38,1
922,node1,26.72,1
923,node1,27.62,1
924,node1,27.93,1
925,node1,27.91,1
926,node1,39.97,1
927,node1,26.15,1
928,node1,30.43,1
929,node1,43.23,0
930,node1,50.46,0
931,node1,30.43,1
932,node1,45.46,0
933,node1,28.82,1
934,node1,42.06,0
935,node1,42.76,0
936,node1,29.65,1
937,node1,42.77,0
938,node1,29.65,1
939,node1,29.65,1
940,node1,42.53,0
941,node1,42.3,0
942,node1,36.23,1
943,node1,41.82,0
944,node1,57.15,0
945,node1,44.23,0
946,node1,45.44,0
947,node1,36.23,1
948,node1,43.23,0
949,node1,43.21,0
950,node1,50.3,0
951,node1,43.21,0
952,node1,55.47,0
