sample,node,distance,label,distance_raw
299,node1,0.05946315220175913,1,23.2
300,node1,0.05320087671856765,1,21.0
301,node1,0.05860920554496029,1,22.9
302,node1,0.06780336454982779,1,26.13
303,node1,0.05411175315248641,1,21.32
304,node1,0.059434687313199175,1,23.19
305,node1,0.05690131223136262,1,22.3
306,node1,0.05502262958640517,1,21.64
307,node1,0.04030628220090518,1,16.47
308,node1,0.04673934701545644,1,18.73
309,node1,0.06447297258831232,1,24.96
310,node1,0.07284164982494093,1,27.9
311,node1,0.07201616805670207,1,27.61
312,node1,0.07699752355469529,1,29.36
313,node1,0.07995787196493126,1,30.4
314,node1,0.06780336454982779,1,26.13
315,node1,0.06780336454982779,1,26.13
316,node1,0.06945432808630554,1,26.71
317,node1,0.05687284734280265,1,22.29
318,node1,0.06026016908143805,1,23.48
319,node1,0.05690131223136262,1,22.3
320,node1,0.06282200905183456,1,24.38
321,node1,0.06697788278158891,1,25.84
322,node1,0.05860920554496029,1,22.9
323,node1,0.06780336454982779,1,26.13
324,node1,0.05502262958640517,1,21.64
325,node1,0.05687284734280265,1,22.29
326,node1,0.06532691924511116,1,25.26
327,node1,0.05778372377672142,1,22.61
328,node1,0.05690131223136262,1,22.3
329,node1,0.05946315220175913,1,23.2
330,node1,0.05593350602032394,1,21.96
331,node1,0.06028863396999801,1,23.49
332,node1,0.06028863396999801,1,23.49
333,node1,0.06028863396999801,1,23.49
334,node1,0.06447297258831232,1,24.96
335,node1,0.05320087671856765,1,21.0
336,node1,0.0736102018160599,1,28.17
337,node1,0.06364749082007344,1,24.67
338,node1,0.07859155731405312,1,29.92
339,node1,0.11787310352679968,0,43.72
340,node1,0.10520622811761692,1,39.27
341,node1,0.07708291822037518,1,29.39
342,node1,0.07457800802709859,1,28.51
343,node1,0.06117104551535681,1,23.8
344,node1,0.05599043579744386,1,21.98
345,node1,0.04215649995730267,1,17.12
346,node1,0.03751672312202898,1,15.49
347,node1,0.07708291822037518,1,29.39
348,node1,0.09510119267883065,1,35.72
349,node1,0.06117104551535681,1,23.8
350,node1,0.06367595570863341,1,24.68
351,node1,0.06703481255870883,1,25.86
352,node1,0.060345563747117935,1,23.51
353,node1,0.06703481255870883,1,25.86
354,node1,0.07930317952805216,1,30.17
355,node1,0.06703481255870883,1,25.86
356,node1,0.06620933079046996,1,25.57
357,node1,0.06450143747687227,1,24.97
358,node1,0.06615240101335004,1,25.55
359,node1,0.06615240101335004,1,25.55
360,node1,0.06367595570863341,1,24.68
361,node1,0.07457800802709859,1,28.51
362,node1,0.07782300532293417,1,29.65
363,node1,0.08158037061284905,1,30.97
364,node1,0.07782300532293417,1,29.65
365,node1,0.0645583672539922,1,24.99
366,node1,0.05952008197887905,1,23.22
367,node1,0.05784065355384134,1,22.63
368,node1,0.07708291822037518,1,29.39
369,node1,0.10056645128234322,1,37.64
370,node1,0.05690131223136262,1,22.3
371,node1,0.05507955936352509,1,21.66
372,node1,0.05690131223136262,1,22.3
373,node1,0.05604736557456378,1,22.0
374,node1,0.058666135322080225,1,22.92
375,node1,0.05784065355384134,1,22.63
376,node1,0.06788875921550767,1,26.16
377,node1,0.05952008197887905,1,23.22
378,node1,0.05869460021064018,1,22.93
379,node1,0.08081181862173009,1,30.7
380,node1,0.08237738749252797,1,31.25
381,node1,0.13665992997637413,0,50.32
382,node1,0.09857390908314592,1,36.94
383,node1,0.14642338675244085,0,53.75
384,node1,0.11647832398736158,0,43.23
385,node1,0.07708291822037518,1,29.39
386,node1,0.07782300532293417,1,29.65
387,node1,0.13611909709373488,0,50.13
388,node1,0.08004326663061115,1,30.43
389,node1,0.099257066408585,1,37.18
390,node1,0.12165893370527453,0,45.05
391,node1,0.06871424098374655,1,26.45
392,node1,0.07859155731405312,1,29.92
393,node1,0.07859155731405312,1,29.92
394,node1,0.07119068628846319,1,27.32
395,node1,0.07369559648173978,1,28.2
396,node1,0.07042213429734423,1,27.05
397,node1,0.07204463294526202,1,27.62
398,node1,0.10452307079217785,1,39.03
399,node1,0.07540348979533745,1,28.8
400,node1,0.07119068628846319,1,27.32
401,node1,0.07204463294526202,1,27.62
402,node1,0.07930317952805216,1,30.17
403,node1,0.07776607554581424,1,29.63
404,node1,0.07042213429734423,1,27.05
405,node1,0.07124761606558311,1,27.34
